url,Model,abductive,analogical,causal,deductive,inductive,spatial,temporal,all
https://www.anthropic.com/news/claude-4,claude-sonnet-4,35.39,56.4,38.02,64.66,55.41,14.51,25.69,42.64
https://arxiv.org/abs/2504.08837,VL-Rethinker-32B,23.84,41.7,25.1,49.12,30.41,15.69,18.72,29.73
https://openai.com/index/o3-o4-mini-system-card/,o4-mini,41.23,73.01,27.38,71.02,67.12,19.22,32.48,50.3
https://arxiv.org/abs/2504.07491,Kimi-VL-A3B-Thinking-2506,22.4,11.07,17.11,37.1,11.94,11.37,18.72,17.45
https://arxiv.org/abs/2508.18265,InternVL3_5-30B-A3B,48.05,18.17,33.08,37.46,13.29,13.33,13.39,22.87
https://arxiv.org/abs/2503.17352,OpenVLThinker-7B-v1.2-sft,16.23,19.2,21.29,13.78,18.24,17.65,17.06,17.75
,llava-1.5-7b,17.21,0.0,7.6,4.59,0.0,9.02,4.77,5.04
https://arxiv.org/abs/2503.19786,Gemma3-27B,32.79,59.0,36.5,32.86,59.01,12.94,18.35,38.34
https://doi.org/10.48550/arXiv.2507.06261,gemini-2.5-flash,46.1,74.57,34.22,71.38,73.42,23.92,30.64,53.03
https://openai.com/index/hello-gpt-4o/,gpt-4o-mini,23.7,55.19,22.05,31.1,62.61,11.76,16.88,35.05
https://www.anthropic.com/news/claude-3-7-sonnet,claude-3.7-sonnet,33.44,66.09,35.36,59.72,59.01,20.78,25.87,44.96
https://arxiv.org/abs/2504.07491,Kimi-VL-A3B,3.9,0.0,0.38,20.14,0.0,4.71,8.44,4.78
https://qwenlm.github.io/blog/qvq-72b-preview/,QVQ-72B-Preview,31.17,40.14,38.02,47.7,32.43,13.33,15.41,30.83
https://arxiv.org/abs/2504.08837,VL-Rethinker-72B,36.36,50.17,33.84,55.83,57.66,15.29,20.55,39.46
https://arxiv.org/abs/2503.17352,OpenVLThinker-7B-v1.2,16.88,19.38,20.91,12.01,18.24,17.25,18.17,17.83
https://doi.org/10.48550/arXiv.2507.06261,gemini-2.5-pro,54.22,73.36,36.99,79.15,72.3,25.1,35.6,56.58
,clip-ViT-L-14,25.32,44.46,28.14,16.96,62.39,24.31,15.23,32.85
https://arxiv.org/abs/2506.03569,MiMo-VL-7B-RL,36.69,26.47,27.76,62.54,25.9,13.73,18.72,28.7
https://arxiv.org/abs/2507.01949,Keye-VL-1.5-8B,19.81,21.11,23.57,15.55,19.37,14.12,23.12,20.07
https://openai.com/index/gpt-4-1/,gpt-4.1-mini,32.79,60.9,30.8,51.94,64.64,16.47,30.46,43.95
https://openai.com/index/gpt-4-1/,gpt-4.1,44.16,71.11,22.43,67.14,69.37,13.73,27.16,48.09
https://arxiv.org/abs/2502.13923,Qwen2.5-VL-7B,25.0,36.85,21.67,21.91,40.09,9.8,11.74,25.26
https://arxiv.org/abs/2503.19786,Gemma3-12B,25.0,50.52,17.49,27.21,41.89,10.98,16.15,29.67
https://arxiv.org/abs/2502.13923,Qwen2.5-VL-32B,24.03,43.6,21.29,48.06,26.8,15.69,16.33,28.62
https://arxiv.org/abs/2506.03569,MiMo-VL-7B-SFT,37.01,23.36,26.24,61.48,25.45,12.55,19.82,27.84
https://arxiv.org/abs/2503.10615,R1-Onevision-7B,29.22,37.2,23.57,27.92,42.57,15.29,18.9,29.04
https://arxiv.org/abs/2508.18265,InternVL3_5-8B,36.36,11.07,20.53,31.8,10.14,13.73,16.51,18.31
https://arxiv.org/abs/2508.18265,InternVL3_5-38B,45.45,15.22,25.86,41.34,7.88,12.94,17.8,21.6
https://openai.com/index/hello-gpt-4o/,gpt-4o,46.75,65.22,25.86,51.24,65.32,11.37,25.87,44.62
https://arxiv.org/abs/2503.10615,R1-Onevision-7B-RL,24.35,34.43,19.77,26.15,31.53,10.2,11.19,23.43
https://seed.bytedance.com/en/special/doubao_1_5_pro,doubao-1.5-vision,37.01,53.29,31.18,59.36,54.5,12.16,22.94,39.99
https://www.anthropic.com/news/claude-4,claude-sonnet-4-thinking,36.84,60.55,44.11,66.78,55.63,15.69,28.07,45.11
https://openai.com/index/introducing-gpt-5/,gpt-5,53.57,78.37,41.06,79.86,77.25,17.25,41.47,58.48
https://arxiv.org/abs/2503.19786,Gemma3-4B,13.96,29.58,20.53,26.15,24.1,11.37,15.96,21.11
https://arxiv.org/abs/2504.05599,Skywork-R1V-38B,24.35,10.38,17.11,22.26,10.36,10.98,10.28,13.94
https://arxiv.org/abs/2504.08837,VL-Rethinker-7B,30.52,40.48,21.67,28.62,43.47,13.73,11.93,28.36
https://arxiv.org/abs/2502.13923,Qwen2.5-VL-72B,35.06,55.36,35.36,51.94,54.73,12.94,23.67,40.1
https://arxiv.org/abs/2503.07365,MM-Eureka-Qwen-7B,31.17,42.04,20.91,36.04,38.29,13.73,17.25,29.71
https://arxiv.org/abs/2503.07365,MM-Eureka-Qwen-32B,23.38,42.04,24.33,48.41,28.6,16.86,18.17,29.33
https://openai.com/index/introducing-gpt-5/,gpt-5-mini,44.81,69.55,32.32,74.91,68.02,12.16,29.36,49.7
,clip-ViT-B-32,24.03,41.52,28.14,19.79,57.66,20.39,21.47,32.47
